abundance,count,cumulative,cumulative_fraction
914,173,264161820,0.998
915,204,264162024,0.998
916,178,264162202,0.998
917,210,264162412,0.998
918,182,264162594,0.998
919,179,264162773,0.998
920,185,264162958,0.998
921,167,264163125,0.998
922,208,264163333,0.998
923,187,264163520,0.998
924,210,264163730,0.998
925,178,264163908,0.998
926,188,264164096,0.998
927,196,264164292,0.998
928,210,264164502,0.998
929,154,264164656,0.998
930,201,264164857,0.998
931,215,264165072,0.998
932,161,264165233,0.998
933,167,264165400,0.998
934,194,264165594,0.998
935,163,264165757,0.998
936,183,264165940,0.998
937,162,264166102,0.998
938,143,264166245,0.998
939,148,264166393,0.998
940,174,264166567,0.998
941,164,264166731,0.998
942,155,264166886,0.998
943,178,264167064,0.998
944,190,264167254,0.998
945,173,264167427,0.998
946,187,264167614,0.998
947,191,264167805,0.998
948,180,264167985,0.998
949,192,264168177,0.998
950,166,264168343,0.998
951,171,264168514,0.998
952,159,264168673,0.998
953,177,264168850,0.998
954,164,264169014,0.998
955,178,264169192,0.998
956,175,264169367,0.998
957,198,264169565,0.998
958,209,264169774,0.998
959,183,264169957,0.998
960,191,264170148,0.998
961,172,264170320,0.998
962,187,264170507,0.998
963,172,264170679,0.998
964,169,264170848,0.998
965,187,264171035,0.998
966,161,264171196,0.998
967,201,264171397,0.998
968,177,264171574,0.998
969,153,264171727,0.998
970,176,264171903,0.998
971,184,264172087,0.998
972,156,264172243,0.998
973,191,264172434,0.998
974,165,264172599,0.998
975,194,264172793,0.998
976,165,264172958,0.998
977,174,264173132,0.998
978,160,264173292,0.998
979,196,264173488,0.998
980,158,264173646,0.998
981,190,264173836,0.998
982,173,264174009,0.998
983,190,264174199,0.998
984,177,264174376,0.998
985,195,264174571,0.998
986,171,264174742,0.998
987,165,264174907,0.998
988,163,264175070,0.998
989,160,264175230,0.998
990,159,264175389,0.998
991,152,264175541,0.998
992,162,264175703,0.998
993,169,264175872,0.998
994,143,264176015,0.998
995,176,264176191,0.998
996,179,264176370,0.998
997,148,264176518,0.998
998,162,264176680,0.998
999,131,264176811,0.998
1000,157,264176968,0.998
1001,168,264177136,0.998
1002,154,264177290,0.998
1003,164,264177454,0.998
1004,176,264177630,0.998
1005,167,264177797,0.998
1006,182,264177979,0.998
1007,163,264178142,0.998
1008,190,264178332,0.998
1009,179,264178511,0.998
1010,164,264178675,0.998
1011,153,264178828,0.998
1012,156,264178984,0.998
1013,167,264179151,0.998
1014,160,264179311,0.998
1015,150,264179461,0.998
1016,181,264179642,0.998
1017,162,264179804,0.998
1018,142,264179946,0.998
1019,156,264180102,0.998
1020,151,264180253,0.998
1021,139,264180392,0.998
1022,130,264180522,0.998
1023,138,264180660,0.998
1024,154,264180814,0.998
1025,147,264180961,0.998
1026,140,264181101,0.998
1027,123,264181224,0.998
1028,139,264181363,0.998
1029,144,264181507,0.998
1030,153,264181660,0.998
1031,144,264181804,0.998
1032,156,264181960,0.998
1033,162,264182122,0.998
1034,161,264182283,0.998
1035,193,264182476,0.998
1036,188,264182664,0.998
1037,187,264182851,0.998
1038,173,264183024,0.998
1039,172,264183196,0.998
1040,162,264183358,0.998
1041,144,264183502,0.998
1042,168,264183670,0.998
1043,147,264183817,0.998
1044,164,264183981,0.998
1045,143,264184124,0.998
1046,160,264184284,0.998
1047,172,264184456,0.998
1048,152,264184608,0.998
1049,157,264184765,0.998
1050,138,264184903,0.998
1051,156,264185059,0.998
1052,139,264185198,0.998
1053,127,264185325,0.998
1054,159,264185484,0.998
1055,151,264185635,0.998
1056,126,264185761,0.998
1057,138,264185899,0.998
1058,149,264186048,0.998
1059,130,264186178,0.998
1060,137,264186315,0.998
1061,161,264186476,0.998
1062,149,264186625,0.998
1063,139,264186764,0.998
1064,160,264186924,0.998
1065,128,264187052,0.998
1066,142,264187194,0.998
1067,122,264187316,0.998
1068,138,264187454,0.998
1069,151,264187605,0.998
1070,161,264187766,0.998
1071,128,264187894,0.998
1072,120,264188014,0.998
1073,140,264188154,0.998
1074,146,264188300,0.998
1075,143,264188443,0.998
1076,124,264188567,0.998
1077,142,264188709,0.998
1078,124,264188833,0.998
1079,148,264188981,0.998
1080,151,264189132,0.998
1081,137,264189269,0.998
1082,132,264189401,0.998
1083,134,264189535,0.998
1084,132,264189667,0.998
1085,133,264189800,0.998
1086,135,264189935,0.998
1087,145,264190080,0.998
1088,125,264190205,0.998
1089,132,264190337,0.998
1090,132,264190469,0.998
1091,144,264190613,0.998
1092,154,264190767,0.998
1093,129,264190896,0.998
1094,153,264191049,0.998
1095,131,264191180,0.998
1096,145,264191325,0.998
1097,126,264191451,0.998
1098,120,264191571,0.998
1099,129,264191700,0.998
1100,113,264191813,0.998
1101,123,264191936,0.998
1102,117,264192053,0.998
1103,147,264192200,0.998
1104,121,264192321,0.998
1105,125,264192446,0.998
1106,132,264192578,0.998
1107,117,264192695,0.998
1108,107,264192802,0.998
1109,123,264192925,0.998
1110,125,264193050,0.998
