Sample	Contig	Mean	Trimmed Mean	Covered Bases	Variance	RPKM	TPM
aligned	UHGV-0173768	0	0	0	0	0	0
aligned	UHGV-0173762	0	0	0	0	0	0
aligned	UHGV-1532549	0	0	0	0	0	0
aligned	UHGV-0135127	0	0	0	0	0	0
aligned	UHGV-0079364	0	0	0	0	0	0
aligned	UHGV-0079369	0	0	0	0	0	0
aligned	UHGV-1668403	0	0	0	0	0	0
aligned	UHGV-0118081	0	0	0	0	0	0
aligned	UHGV-1555624	0	0	0	0	0	0
aligned	UHGV-0213495	0	0	0	0	0	0
aligned	UHGV-2013789	0	0	0	0	0	0
aligned	UHGV-2013786	0	0	0	0	0	0
aligned	UHGV-1696988	0	0	0	0	0	0
aligned	UHGV-0089103	0	0	0	0	0	0
aligned	UHGV-0380785	0	0	0	0	0	0
aligned	UHGV-0142711	0	0	0	0	0	0
aligned	UHGV-0074331	0	0	0	0	0	0
aligned	UHGV-0142710	0	0	0	0	0	0
aligned	UHGV-1956479	0	0	0	0	0	0
aligned	UHGV-0201974	0	0	0	0	0	0
aligned	UHGV-0266560	0.32039094	0	1431	5.93271	0.20728819	4.828096280107275
aligned	UHGV-1544420	0	0	0	0	0	0
aligned	UHGV-1529033	0	0	0	0	0	0
aligned	UHGV-0365849	0	0	0	0	0	0
aligned	UHGV-1687659	0	0	0	0	0	0
aligned	UHGV-1687650	0	0	0	0	0	0
aligned	UHGV-0360310	0	0	0	0	0	0
aligned	UHGV-1410673	0.20856625	0.024842592	1903	0.91447514	0.12295471	2.8638278308790177
aligned	UHGV-1777860	0	0	0	0	0	0
aligned	UHGV-0370929	0	0	0	0	0	0
aligned	UHGV-0383487	0	0	0	0	0	0
aligned	UHGV-0084976	0	0	0	0	0	0
aligned	UHGV-0365848	0	0	0	0	0	0
aligned	UHGV-1502670	0	0	0	0	0	0
aligned	UHGV-2124279	0	0	0	0	0	0
aligned	UHGV-1645336	0	0	0	0	0	0
aligned	UHGV-1684128	0	0	0	0	0	0
aligned	UHGV-1592616	0	0	0	0	0	0
aligned	UHGV-0042325	0	0	0	0	0	0
aligned	UHGV-1611929	0	0	0	0	0	0
aligned	UHGV-1516925	0	0	0	0	0	0
aligned	UHGV-0123047	0	0	0	0	0	0
aligned	UHGV-1467320	0	0	0	0	0	0
aligned	UHGV-0170416	0	0	0	0	0	0
aligned	UHGV-1516474	0	0	0	0	0	0
aligned	UHGV-2145928	0	0	0	0	0	0
aligned	UHGV-0131474	0	0	0	0	0	0
aligned	UHGV-0202314	0	0	0	0	0	0
aligned	UHGV-0123049	0	0	0	0	0	0
aligned	UHGV-2180491	0	0	0	0	0	0
aligned	UHGV-0054999	0	0	0	0	0	0
aligned	UHGV-0049652	0	0	0	0	0	0
aligned	UHGV-0004637	0	0	0	0	0	0
aligned	UHGV-1503985	0	0	0	0	0	0
aligned	UHGV-1442898	0	0	0	0	0	0
aligned	UHGV-1394364	0	0	0	0	0	0
aligned	UHGV-2082755	0	0	0	0	0	0
aligned	UHGV-0058751	0	0	0	0	0	0
aligned	UHGV-0121783	0	0	0	0	0	0
aligned	UHGV-1412367	0	0	0	0	0	0
aligned	UHGV-1749961	0	0	0	0	0	0
aligned	UHGV-0075460	0	0	0	0	0	0
aligned	UHGV-0006592	0	0	0	0	0	0
aligned	UHGV-2078795	0	0	0	0	0	0
aligned	UHGV-1383000	0	0	0	0	0	0
aligned	UHGV-1615694	0	0	0	0	0	0
aligned	UHGV-1553294	0	0	0	0	0	0
aligned	UHGV-0380320	0	0	0	0	0	0
aligned	UHGV-1771959	0	0	0	0	0	0
aligned	UHGV-2098748	0.022616977	0	192	0.032180734	0.023492826	0.5471881081575702
aligned	UHGV-1396038	0	0	0	0	0	0
aligned	UHGV-0041663	0	0	0	0	0	0
aligned	UHGV-1336821	0	0	0	0	0	0
aligned	UHGV-1860769	0	0	0	0	0	0
aligned	UHGV-0137218	0	0	0	0	0	0
aligned	UHGV-1343625	0	0	0	0	0	0
aligned	UHGV-0218427	0	0	0	0	0	0
aligned	UHGV-0218394	0	0	0	0	0	0
aligned	UHGV-1337257	0	0	0	0	0	0
aligned	UHGV-1505480	0	0	0	0	0	0
aligned	UHGV-0217668	0	0	0	0	0	0
aligned	UHGV-0217560	0	0	0	0	0	0
aligned	UHGV-0217498	0	0	0	0	0	0
aligned	UHGV-0150862	0	0	0	0	0	0
aligned	UHGV-0217179	0	0	0	0	0	0
aligned	UHGV-0217056	0	0	0	0	0	0
aligned	UHGV-1591692	0	0	0	0	0	0
aligned	UHGV-1704543	0	0	0	0	0	0
aligned	UHGV-0049764	0	0	0	0	0	0
aligned	UHGV-1704621	0	0	0	0	0	0
aligned	UHGV-1704430	0	0	0	0	0	0
aligned	UHGV-0058576	0	0	0	0	0	0
aligned	UHGV-1704516	0	0	0	0	0	0
aligned	UHGV-1755362	0	0	0	0	0	0
aligned	UHGV-1704009	0	0	0	0	0	0
aligned	UHGV-1830641	0	0	0	0	0	0
aligned	UHGV-0123220	0	0	0	0	0	0
aligned	UHGV-1537838	0	0	0	0	0	0
aligned	UHGV-1639164	0	0	0	0	0	0
aligned	UHGV-1977589	0	0	0	0	0	0
aligned	UHGV-1639026	0	0	0	0	0	0
aligned	UHGV-1639682	0	0	0	0	0	0
aligned	UHGV-1639390	0	0	0	0	0	0
aligned	UHGV-2118707	0	0	0	0	0	0
aligned	UHGV-1292397	0	0	0	0	0	0
aligned	UHGV-0158554	5.7501802	4.603259	27293	84.41798	3.4750109	80.93890937743708
aligned	UHGV-0153015	0	0	0	0	0	0
aligned	UHGV-1761774	0	0	0	0	0	0
aligned	UHGV-1639560	0	0	0	0	0	0
aligned	UHGV-1398498	0	0	0	0	0	0
aligned	UHGV-1779730	0	0	0	0	0	0
aligned	UHGV-0283983	0	0	0	0	0	0
aligned	UHGV-0021147	0	0	0	0	0	0
aligned	UHGV-0081633	0	0	0	0	0	0
aligned	UHGV-1692975	0	0	0	0	0	0
aligned	UHGV-1436051	0	0	0	0	0	0
aligned	UHGV-0823547	0	0	0	0	0	0
aligned	UHGV-1504661	0	0	0	0	0	0
aligned	UHGV-0823546	0	0	0	0	0	0
aligned	UHGV-1504660	0	0	0	0	0	0
aligned	UHGV-1793636	0	0	0	0	0	0
aligned	UHGV-0317082	0	0	0	0	0	0
aligned	UHGV-1390128	0	0	0	0	0	0
aligned	UHGV-1390948	0	0	0	0	0	0
aligned	UHGV-1441576	0	0	0	0	0	0
aligned	UHGV-1511752	0	0	0	0	0	0
aligned	UHGV-1934954	0	0	0	0	0	0
aligned	UHGV-1966473	0	0	0	0	0	0
aligned	UHGV-1389790	0	0	0	0	0	0
aligned	UHGV-0143702	0	0	0	0	0	0
aligned	UHGV-1516045	0	0	0	0	0	0
aligned	UHGV-1391713	0	0	0	0	0	0
aligned	UHGV-0079931	0	0	0	0	0	0
aligned	UHGV-2201935	0	0	0	0	0	0
aligned	UHGV-1825550	0	0	0	0	0	0
aligned	UHGV-0386601	10.906004	10.720257	27578	61.61713	6.3755975	148.4986423747614
aligned	UHGV-0317083	0	0	0	0	0	0
aligned	UHGV-0046011	0	0	0	0	0	0
aligned	UHGV-0016567	0	0	0	0	0	0
aligned	UHGV-0128669	0	0	0	0	0	0
aligned	UHGV-1357190	0	0	0	0	0	0
aligned	UHGV-0016568	0	0	0	0	0	0
aligned	UHGV-0154751	0	0	0	0	0	0
aligned	UHGV-0154755	0	0	0	0	0	0
aligned	UHGV-1856542	0	0	0	0	0	0
aligned	UHGV-1732198	0	0	0	0	0	0
aligned	UHGV-1645792	0	0	0	0	0	0
aligned	UHGV-1626477	0	0	0	0	0	0
aligned	UHGV-1568688	0	0	0	0	0	0
aligned	UHGV-1568686	0	0	0	0	0	0
aligned	UHGV-1567151	0	0	0	0	0	0
aligned	UHGV-1481686	0	0	0	0	0	0
aligned	UHGV-1928546	0	0	0	0	0	0
aligned	UHGV-1539409	0	0	0	0	0	0
aligned	UHGV-1723366	0	0	0	0	0	0
aligned	UHGV-1723487	0	0	0	0	0	0
aligned	UHGV-1730589	0	0	0	0	0	0
aligned	UHGV-0425826	0	0	0	0	0	0
aligned	UHGV-0073586	0	0	0	0	0	0
aligned	UHGV-1768190	0	0	0	0	0	0
aligned	UHGV-0050852	0	0	0	0	0	0
aligned	UHGV-1751893	0	0	0	0	0	0
aligned	UHGV-1722810	0	0	0	0	0	0
aligned	UHGV-1722880	0	0	0	0	0	0
aligned	UHGV-0091925	0	0	0	0	0	0
aligned	UHGV-1723159	0	0	0	0	0	0
aligned	UHGV-1723292	0	0	0	0	0	0
aligned	UHGV-1371953	0	0	0	0	0	0
aligned	UHGV-1419656	0	0	0	0	0	0
aligned	UHGV-0058109	0	0	0	0	0	0
aligned	UHGV-0324221	0	0	0	0	0	0
aligned	UHGV-0118019	0	0	0	0	0	0
aligned	UHGV-1374751	0	0	0	0	0	0
aligned	UHGV-1723437	0	0	0	0	0	0
aligned	UHGV-1951392	0.9340865	0.37202826	5247	8.419956	0.5514872	12.845083801948931
aligned	UHGV-2132338	0.19710848	0.030052423	3052	1.3088461	0.18087621	4.2129158828174695
aligned	UHGV-1797718	0	0	0	0	0	0
aligned	UHGV-0213230	0	0	0	0	0	0
aligned	UHGV-1354746	0	0	0	0	0	0
aligned	UHGV-2037683	0	0	0	0	0	0
aligned	UHGV-0144892	0	0	0	0	0	0
aligned	UHGV-0062452	0	0	0	0	0	0
aligned	UHGV-0144893	0.61812776	0.0124204075	863	11.948629	0.37633374	8.765460734139197
aligned	UHGV-0051178	0	0	0	0	0	0
aligned	UHGV-0257846	0	0	0	0	0	0
aligned	UHGV-2134895	0	0	0	0	0	0
aligned	UHGV-1809392	0	0	0	0	0	0
aligned	UHGV-1415227	0	0	0	0	0	0
aligned	UHGV-0511135	0	0	0	0	0	0
aligned	UHGV-1415224	0	0	0	0	0	0
