Sample	Contig	Covered Fraction
aligned	ivig_909	0
aligned	ivig_910	0
aligned	ivig_911	0
aligned	ivig_917	0
aligned	ivig_931	0
aligned	ivig_932	0
aligned	ivig_933	0.01043816
aligned	ivig_937	0.2896463
aligned	ivig_939	0.027731294
aligned	ivig_940	0.64173025
aligned	ivig_941	0.056233943
aligned	ivig_946	0
aligned	ivig_947	0
aligned	ivig_948	0.20563126
aligned	ivig_949	0.26025513
aligned	ivig_952	0
aligned	ivig_953	0
aligned	ivig_959	0
aligned	ivig_966	0
aligned	ivig_967	0
aligned	ivig_970	0
aligned	ivig_971	0
aligned	ivig_972	0
aligned	ivig_974	0
aligned	ivig_975	0
aligned	ivig_977	0
aligned	ivig_981	0.05159579
aligned	ivig_982	0
aligned	ivig_988	0.09974201
aligned	ivig_989	0
aligned	ivig_990	0
aligned	ivig_991	0
aligned	ivig_995	0
aligned	ivig_997	0.011742893
aligned	ivig_998	0.21325916
aligned	ivig_1001	0
aligned	ivig_1002	0
aligned	ivig_1003	0.16310723
aligned	ivig_1004	0
aligned	ivig_1006	0
aligned	ivig_1007	0
aligned	ivig_1009	0
aligned	ivig_1010	0.16787803
aligned	ivig_1011	0
aligned	ivig_1015	0.01042833
aligned	ivig_1017	0.011730285
aligned	ivig_1018	0
aligned	ivig_1019	0
aligned	ivig_1023	0
aligned	ivig_1024	0
aligned	ivig_1026	0
aligned	ivig_1029	0
aligned	ivig_1031	0.010189278
aligned	ivig_1032	0
aligned	ivig_1034	0.042285915
aligned	ivig_1036	0.059417494
aligned	ivig_1040	0
aligned	ivig_1041	0
aligned	ivig_1043	0
aligned	ivig_1044	0
aligned	ivig_1046	0
aligned	ivig_1047	0
aligned	ivig_1052	0
aligned	ivig_1053	0
aligned	ivig_1054	0
aligned	ivig_1056	0
aligned	ivig_1057	0
aligned	ivig_1058	0
aligned	ivig_1059	0
aligned	ivig_1061	0.23510046
aligned	ivig_1063	0.5467245
aligned	ivig_1066	0
aligned	ivig_1068	0
aligned	ivig_1072	0
aligned	ivig_1073	0
aligned	ivig_1080	0
