Contig	F6_S22-untreated_virome_Genomad_mapped Mean	F6_S22-untreated_virome_Genomad_mapped Trimmed Mean	F6_S22-untreated_virome_Genomad_mapped Covered Bases	F6_S22-untreated_virome_Genomad_mapped Variance	F6_S22-untreated_virome_Genomad_mapped RPKM	F6_S22-untreated_virome_Genomad_mapped TPM	F7_S23-untreated_virome_Genomad_mapped Mean	F7_S23-untreated_virome_Genomad_mapped Trimmed Mean	F7_S23-untreated_virome_Genomad_mapped Covered Bases	F7_S23-untreated_virome_Genomad_mapped Variance	F7_S23-untreated_virome_Genomad_mapped RPKM	F7_S23-untreated_virome_Genomad_mapped TPM	F8_S24-untreated_virome_Genomad_mapped Mean	F8_S24-untreated_virome_Genomad_mapped Trimmed Mean	F8_S24-untreated_virome_Genomad_mapped Covered Bases	F8_S24-untreated_virome_Genomad_mapped Variance	F8_S24-untreated_virome_Genomad_mapped RPKM	F8_S24-untreated_virome_Genomad_mapped TPM
F7_S23_contig_4800	19.0559	18.642809	11828	98.75162	1.3826264	52.2873	22.79216	22.36552	11885	144.25294	1.4442728	54.671867	22.520664	22.18631	11793	142.2114	1.468203	55.238037
F7_S23_contig_5002	6.3209877	6.2669787	9949	7.5283546	0.44561857	16.852129	8.711734	8.631872	10113	10.678189	0.5273284	19.961618	7.375489	7.0730457	10092	16.40497	0.4711801	17.727161
F7_S23_contig_5019	5.215276	5.07184	19715	8.687163	0.3640197	13.766274	5.9406223	5.819597	19934	9.393441	0.36652645	13.874589	6.5356464	6.4320927	19735	10.56594	0.4150078	15.613789
F7_S23_contig_5471	18.357103	17.777996	46484	51.109253	1.3429711	50.787647	20.513575	19.823462	46484	65.24423	1.309776	49.580593	19.818405	19.113903	46484	70.60777	1.3108895	49.319427
F7_S23_contig_5679	6.925049	6.816504	11882	8.693021	0.48815724	18.460829	7.7938848	7.6296964	11891	12.289028	0.4757311	18.008453	7.1351676	7.0812907	11875	9.74416	0.45843163	17.24752
F7_S23_contig_5778	20703.75	20706.117	40521	7549539.5	1449.0931	54800.914	23386.416	23398.38	40521	9531418	1436.4249	54374.785	23499.258	23491.652	40521	10109914	1485.1012	55873.797
F7_S23_contig_5784	16.689892	16.08524	30626	49.049835	1.1908495	45.034813	19.400085	18.328192	30691	87.2186	1.2193376	46.157116	19.551685	18.525267	30556	86.78559	1.257906	47.32602
F7_S23_contig_6418	30.211536	30.017277	34877	48.08328	2.1539435	81.45649	33.892994	33.585793	34877	51.729538	2.1239479	80.40046	33.411148	33.1697	34877	59.827534	2.1512856	80.9376
F7_S23_contig_6423	14.028869	13.532107	16465	80.04324	1.0512295	39.75476	15.777199	15.05366	16465	122.36417	1.0369024	39.251152	15.549372	15.060266	16465	74.025314	1.0366467	39.001637
F7_S23_contig_6774	12.704859	12.191213	49365	55.087288	0.8926755	33.75864	14.040988	13.253318	49384	65.51024	0.8633404	32.681107	13.914186	13.394227	49372	57.21175	0.88095045	33.143913
F7_S23_contig_7715	15171.685	15514.879	17901	13347098	1056.5587	39956.285	15682.605	15987.742	17935	13513218	958.72906	36291.973	15835.738	16158.82	17944	12445726	995.9004	37468.65
F7_S23_contig_7748	159.18861	148.77852	38376	6486.3223	11.197647	423.46576	183.63116	171.26674	38498	8562.171	11.357954	429.94675	180.51213	168.93907	38385	8098.938	11.47111	431.57623
F7_S23_contig_7968	17.722507	16.834053	27149	152.81793	1.241551	46.952217	20.918846	19.63083	27185	229.09943	1.2825954	48.5517	19.973183	18.861752	27185	226.86647	1.2616807	47.46804
F7_S23_contig_8116	40.431087	39.600746	20415	336.78415	2.8598826	108.153305	45.101013	44.57092	20415	327.77222	2.7968118	105.87124	44.50866	43.428806	20415	419.54077	2.8429213	106.95895
F7_S23_contig_8978	10.85552	10.390967	49603	52.278393	0.76415396	28.898298	11.835874	11.517764	49516	49.479614	0.7296839	27.62164	11.805473	11.267877	49422	63.98848	0.75089973	28.251007
F7_S23_contig_9728	13.793826	13.3622	11723	46.99448	0.9918764	37.510155	14.033284	13.527733	11742	47.93456	0.89455616	33.86276	13.960248	13.54785	11738	50.299824	0.917556	34.521122
F7_S23_contig_9901	4.1735682	3.57478	1007	23.755564	0.45993912	17.39369	4.9859033	4.4711633	1180	19.952183	0.4611217	17.455425	0	0	0	0	0	0
F7_S23_contig_9915	102.329796	99.23407	29922	2283.9023	7.201459	272.34036	120.40639	116.59159	29932	3106.9526	7.426068	281.10812	117.22537	113.076965	29925	3073.3196	7.449402	280.26788
F7_S23_contig_9951	7.604629	7.4419017	12703	11.055644	0.5425049	20.516111	8.173467	8.039056	12723	11.9014225	0.50720316	19.199795	8.627296	8.536538	12723	11.716791	0.5505475	20.713179
