Contig	GP3_S28-mda_virome_Genomad_mapped Mean	GP3_S28-mda_virome_Genomad_mapped Trimmed Mean	GP3_S28-mda_virome_Genomad_mapped Covered Bases	GP3_S28-mda_virome_Genomad_mapped Variance	GP3_S28-mda_virome_Genomad_mapped RPKM	GP3_S28-mda_virome_Genomad_mapped TPM	GP4_S29-mda_virome_Genomad_mapped Mean	GP4_S29-mda_virome_Genomad_mapped Trimmed Mean	GP4_S29-mda_virome_Genomad_mapped Covered Bases	GP4_S29-mda_virome_Genomad_mapped Variance	GP4_S29-mda_virome_Genomad_mapped RPKM	GP4_S29-mda_virome_Genomad_mapped TPM	GP5_S30-mda_virome_Genomad_mapped Mean	GP5_S30-mda_virome_Genomad_mapped Trimmed Mean	GP5_S30-mda_virome_Genomad_mapped Covered Bases	GP5_S30-mda_virome_Genomad_mapped Variance	GP5_S30-mda_virome_Genomad_mapped RPKM	GP5_S30-mda_virome_Genomad_mapped TPM
GP4_S29_contig_95	0	0	0	0	0	0	6.3840547	6.313006	2186	6.490563	0.37473035	1.8540356	0	0	0	0	0	0
GP4_S29_contig_237	110.70829	94.81118	33738	25603.746	7.894492	43.80846	82.28069	70.23142	33738	13787.41	6.1063194	30.211943	101.67313	86.90867	33738	18556.883	7.51411	39.801533
GP4_S29_contig_332	23.224295	22.649378	30816	116.965706	1.400114	7.769576	17.545347	17.144524	30824	70.4703	1.0985347	5.4351707	23.29605	22.617466	30738	130.03384	1.4746709	7.8111954
GP4_S29_contig_477	11.94547	11.460083	20399	37.823162	0.73399293	4.0731077	11.693841	11.062287	20414	41.811996	0.7444241	3.683152	11.772503	11.307818	20397	38.78573	0.767641	4.066122
GP4_S29_contig_481	224.40585	222.03885	19228	5512.142	13.548074	75.181564	162.7962	160.03482	19228	3653.9414	10.271498	50.819817	206.89963	204.69974	19228	4911.746	13.145476	69.63039
GP4_S29_contig_668	7.681747	7.504929	21428	18.745378	0.46794447	2.5967374	7.206516	6.9673443	21701	17.209581	0.4554547	2.253431	7.3989835	7.187205	21230	19.769358	0.47044164	2.4918864
GP4_S29_contig_676	255629.2	261874.08	2714	18247221000	14872.824	82532.94	311178.25	318581.78	2714	27053480000	18857.436	93300.03	319273.78	326708.25	2714	28403690000	19541.314	103508.53
GP4_S29_contig_726	0	0	0	0	0	0	6.0315504	6.016014	6289	7.4609613	0.3748056	1.8544087	2.644779	2.4679716	5240	4.954368	0.16774325	0.8885204
GP4_S29_contig_747	19929.145	18129.697	73070	241777710	1200.1824	6660.1045	15615.909	14138.859	73180	150814400	980.1534	4849.4575	16703.234	15088.893	73152	176346400	1058.2961	5605.6973
GP4_S29_contig_803	224.15686	210.31488	71560	18785.627	13.52864	75.07374	177.66968	167.7113	71560	11196.899	11.172877	55.27951	197.33238	187.46072	71560	12302.824	12.524503	66.3411
GP4_S29_contig_830	67.71317	62.586567	24742	2837.1077	4.085123	22.669342	54.58631	51.357765	24799	1443.8832	3.436875	17.004463	60.117245	56.309757	24695	1707.989	3.8186078	20.226816
GP4_S29_contig_865	1.635912	1.5957447	1440	0.94476056	0.121440105	0.67390066	4.9467707	4.9385343	1559	4.314636	0.28935677	1.4316374	0	0	0	0	0	0
GP4_S29_contig_902	12212.567	11172.466	12165	104688740	742.706	4121.457	9903.694	9068.089	12165	68416290	627.804	3106.1563	11357.498	10378.813	12165	91094620	726.6552	3849.0244
GP4_S29_contig_929	0	0	0	0	0	0	4.4131327	4.288754	1612	7.204975	0.26235297	1.2980314	0	0	0	0	0	0
GP4_S29_contig_936	26245.85	25139.906	2353	206840540	1503.5854	8343.763	24782.053	23886.486	2353	164784420	1479.179	7318.4653	17588.375	16975.025	2353	81048270	1059.0774	5609.8335
GP4_S29_contig_1037	5.5629935	5.361663	2355	12.702871	0.31757078	1.762278	3.083576	3.0919168	2263	2.7679706	0.1839152	0.9099485	0	0	0	0	0	0
GP4_S29_contig_1183	1971.0298	1967.1665	5215	84085.336	117.25313	650.66614	1596.4352	1593.5554	5215	60612.17	99.05364	490.0832	1203.7179	1201.0427	5215	37592.57	75.24478	398.56476
GP4_S29_contig_1392	87929.73	88309.484	2916	3120153900	5101.384	28308.82	80154	80411.02	2929	2597772800	4843.5625	23964.262	58585.34	58727.344	2923	1360593000	3572.5212	18923.316
GP4_S29_contig_1732	60.46678	59.16239	45683	639.6623	3.6507545	20.258923	52.432457	51.375053	45683	490.07697	3.291782	16.28659	85.24319	83.67233	45683	1216.1575	5.4022503	28.615223
GP4_S29_contig_1764	83641.71	81092.875	1936	4318489600	4681.908	25981.053	108977.94	105847.63	1936	7315611000	6354.627	31440.492	107643.5	104330.9	1936	7186809300	6335.4736	33558.41
GP4_S29_contig_1828	20.26091	19.883892	30168	62.479095	1.2258521	6.8025537	17.011793	16.72322	30168	37.318237	1.0750705	5.3190765	21.754913	21.52909	30168	52.48246	1.3837192	7.3294344
GP4_S29_contig_1908	152.35724	153.3361	60081	2843.8496	9.160041	50.831303	123.70968	124.03458	60245	1904.0697	7.753385	38.36107	147.15904	148.20288	60245	2562.9841	9.307105	49.29888
GP4_S29_contig_1966	13657.702	12848.683	26983	104031270	821.13324	4556.6694	9636.927	9059.682	26983	51590364	603.8381	2987.5815	13212.203	12447.392	26983	91557016	835.8866	4427.613
GP4_S29_contig_1974	7.1872973	6.909954	15962	17.653944	0.43243995	2.3997145	5.4232593	5.160058	16109	10.727062	0.33925524	1.6785171	6.2623534	6.117219	15837	11.631111	0.39895448	2.1132255
GP4_S29_contig_2159	724.7394	732.1598	57731	77648.484	43.766174	242.8692	570.233	574.33325	57734	46861.973	35.896725	177.60457	650.988	656.88086	57733	56775.37	41.359642	219.07825
GP4_S29_contig_2371	8.236175	7.994329	11886	15.903881	0.51121056	2.8368328	9.399609	9.137997	11865	20.288097	0.6102743	3.0194268	8.330525	8.157184	11843	17.54879	0.54059994	2.8635085
GP4_S29_contig_2531	7.921776	7.4927297	26133	30.415613	0.48074502	2.6677725	7.0524616	6.863464	26472	16.34079	0.44016752	2.1777961	7.652267	7.5657682	26091	16.885712	0.4838353	2.5628304
GP4_S29_contig_2567	9.066024	8.526693	30680	42.931618	0.5512533	3.0590394	6.647294	6.325732	30618	19.828676	0.42283604	2.0920465	7.118042	6.7849846	30209	24.05751	0.4535629	2.4024808
GP4_S29_contig_2637	556.907	554.9298	94312	26446.879	33.57156	186.29686	456.86688	454.3455	94312	18227.484	28.694736	141.97163	513.37866	510.1309	94312	21573.73	32.55213	172.42563
GP4_S29_contig_2686	14.043776	13.547737	10649	87.35279	0.8398469	4.660516	10.066755	9.362907	10640	59.521557	0.63351816	3.1344297	10.288482	9.964342	10625	41.622364	0.6487094	3.4361541
GP4_S29_contig_2981	123018.09	117574.27	1461	11968852000	6692.783	37139.89	154401.81	148094.33	1461	17912476000	8753.061	43307.1	155225.98	148630.14	1461	18458173000	8883.673	47055.996
GP4_S29_contig_2984	6.948049	6.821422	17635	15.6626215	0.4169154	2.3135653	4.2092032	4.038564	17600	6.52375	0.26295596	1.3010144	4.9809103	4.8441873	17142	9.504451	0.31510434	1.6690785
GP4_S29_contig_3052	7.067638	7.00138	17544	12.034612	0.4249824	2.3583324	6.1568427	6.057709	17744	9.87072	0.3861931	1.9107504	4.8515697	4.7242503	17412	7.6395903	0.30926597	1.6381526
