Contig	M1_S25-metaG_Genomad_mapped Mean	M1_S25-metaG_Genomad_mapped Trimmed Mean	M1_S25-metaG_Genomad_mapped Covered Bases	M1_S25-metaG_Genomad_mapped Variance	M1_S25-metaG_Genomad_mapped RPKM	M1_S25-metaG_Genomad_mapped TPM	M2_S26-metaG_Genomad_mapped Mean	M2_S26-metaG_Genomad_mapped Trimmed Mean	M2_S26-metaG_Genomad_mapped Covered Bases	M2_S26-metaG_Genomad_mapped Variance	M2_S26-metaG_Genomad_mapped RPKM	M2_S26-metaG_Genomad_mapped TPM	M3_S27-metaG_Genomad_mapped Mean	M3_S27-metaG_Genomad_mapped Trimmed Mean	M3_S27-metaG_Genomad_mapped Covered Bases	M3_S27-metaG_Genomad_mapped Variance	M3_S27-metaG_Genomad_mapped RPKM	M3_S27-metaG_Genomad_mapped TPM
M2_S26_contig_5057	26.41407	22.937984	28691	651.0966	34.309376	957.9097	24.6614	21.555456	28691	594.6999	37.156483	1035.8812	23.478085	20.413555	28537	608.17926	35.59708	990.31396
M2_S26_contig_6069	11.948589	10.109228	17630	387.7804	17.04197	475.80783	8.465611	7.239274	17584	208.65283	13.532648	377.27512	10.3532505	8.812135	17610	279.18088	16.760292	466.27283
M2_S26_contig_7453	269.40814	230.681	16890	71463.19	394.84265	11023.912	260.35782	223.35776	17092	66281.39	448.64566	12507.744	279.97952	244.93285	16839	66857.74	481.76044	13402.614
M2_S26_contig_7833	31.056578	30.745304	21678	139.2966	43.52861	1215.3082	20.368357	20.266516	21678	74.98708	30.07429	838.43787	25.74726	25.65834	21678	87.45905	37.93201	1055.2721
M2_S26_contig_8176	8.419426	8.2937975	17378	15.6617565	10.913146	304.69244	8.651805	8.524862	17488	10.7753935	12.878729	359.04456	7.624928	7.38184	17488	13.165361	11.418135	317.65356
M2_S26_contig_8232	6.650705	6.4890594	10644	13.108564	8.23789	229.99986	5.8667974	5.7429223	10627	11.30423	8.433447	235.11511	5.1065063	5.0075703	10573	8.226425	7.3727665	205.11093
M2_S26_contig_8244	8.765213	8.6065445	26106	18.236517	11.09838	309.86426	8.465415	8.261498	26342	19.566248	12.390579	345.43552	6.913471	6.655801	25936	17.394878	10.108065	281.20734
M2_S26_contig_8324	5.909012	5.8165755	10337	7.950272	7.3070493	204.01106	5.258506	5.216083	10371	5.7721887	7.5671406	210.96353	4.387181	4.2734766	10423	5.584124	6.3447356	176.51105
M2_S26_contig_8378	101.94062	102.21487	13858	537.77954	131.33684	3666.8938	89.2945	89.13365	13858	432.2256	131.5409	3667.2136	93.17698	93.20579	13858	458.001	137.16136	3815.8418
M2_S26_contig_8763	8.691899	8.625719	15562	13.659455	11.127789	310.6851	7.9655795	7.819221	15606	11.179663	11.782514	328.48328	7.0254917	6.8757906	15606	10.5919075	10.403885	289.43683
M2_S26_contig_8991	16.66724	16.589907	11179	24.466335	21.177656	591.27496	14.353341	14.2110405	11179	21.799425	21.022947	586.0965	13.005531	12.791176	11179	19.732012	19.150507	532.76874
M2_S26_contig_9027	10.447121	10.329843	36188	17.918816	13.095992	365.63687	9.764949	9.576493	36201	18.432579	14.333717	399.608	10.288748	10.12274	36223	16.454105	15.145899	421.36032
M2_S26_contig_11928	55.06459	54.987278	32027	193.06613	76.31069	2130.576	38.06459	38.180405	32027	96.994354	55.633244	1550.9926	47.51175	47.67753	32027	112.68378	69.62478	1936.9677
M2_S26_contig_12108	19.477598	13.957318	24071	988.241	32.471657	906.60077	18.520523	13.752029	24099	750.0422	36.145927	1007.708	17.572048	12.282811	24049	859.18616	35.081226	975.9629
M2_S26_contig_13556	50.362957	44.008717	53294	25491.625	74.53064	2080.878	34.044067	28.300104	53294	21593.496	60.80207	1695.0938	41.034565	35.774826	53294	18338.035	70.31642	1956.2091
